lemma,Count,part_of_speech,hypernyms
abcs,4,noun,fundamentals|fundamentals
abc's,5,noun,fundamentals
abdicate,8,verb,vacate
abdication,10,noun,resignation|resignation
abdicator,9,noun,quitter
abdomen,7,noun,body part|cavity
abdominal,9,noun,skeletal muscle
abdominal actinomycosis,23,noun,actinomycosis
abdominal aorta,15,noun,aorta
abdominal aortic aneurysm,25,noun,aortic aneurysm
abdominal breathing,19,noun,breathing
abdominal cavity,16,noun,cavity
abdominal delivery,18,noun,delivery
abdominal external oblique muscle,33,noun,abdominal
abdominal muscle,16,noun,skeletal muscle
abdominal nerve plexus,22,noun,nerve plexus
abdominal pregnancy,19,noun,ectopic pregnancy
abdominal wall,14,noun,wall
abdominocentesis,16,noun,centesis
abdominoplasty,14,noun,plastic surgery
abdominousness,14,noun,fatness
abduce,6,verb,testify
abducens,8,noun,cranial nerve
abducens muscle,15,noun,ocular muscle
abducens nerve,14,noun,cranial nerve
abducent,8,noun,cranial nerve
abducent nerve,14,noun,cranial nerve
abduct,6,verb,seize|pull
abducting,9,verb,seize|pull
abduction,9,noun,capture|motion
abductor,8,noun,captor;criminal|skeletal muscle
abductor muscle,15,noun,skeletal muscle
abecedarian,11,noun,novice|sect
abecedarius,11,noun,poem
abele,5,noun,poplar
abelia,6,noun,shrub
abelian group,13,noun,group
abelmoschus,11,noun,dilleniid dicot genus
abelmoschus esculentus,22,noun,herb
abelmoschus moschatus,21,noun,mallow
abelmosk,8,noun,mallow
abenaki,7,noun,algonquian
aberdeen angus,14,noun,beef
aberrance,9,noun,abnormality
aberrancy,9,noun,abnormality
aberrant,8,noun,anomaly
aberrate,8,verb,deviate|deviate
aberration,10,noun,abnormality|mental disorder|optical phenomenon
abet,4,verb,assist
abetalipoproteinemia,20,noun,genetic disease;hypobetalipoproteinemia;lipidosis
abetment,8,noun,encouragement
abettal,7,noun,encouragement
abetter,7,noun,accessory
abettor,7,noun,accessory
abeyance,8,noun,inaction
abfarad,7,noun,capacitance unit
abhenry,7,noun,inductance unit
abhor,5,verb,hate
abhorrence,10,noun,disgust;hate
abhorrer,8,noun,signer
abidance,8,noun,cooperation|act|continuance
abide,5,verb,stay|permit
abide by,8,verb,obey|accept
abiding,7,verb,stay|permit
abience,7,noun,urge
abies,5,noun,gymnosperm genus
abies,5,verb,right
abies alba,10,noun,silver fir
abies amabilis,14,noun,silver fir
abies balsamea,14,noun,silver fir
abies bracteata,15,noun,fir
abies concolor,14,noun,silver fir
abies fraseri,13,noun,silver fir
abies grandis,13,noun,silver fir
abies lasiocarpa,16,noun,silver fir
abies lowiana,13,noun,silver fir
abies venusta,13,noun,fir
ability,7,noun,quality|cognition
abiogenesis,11,noun,organic phenomenon
abiogenist,10,noun,believer
abiotrophy,10,noun,degeneration
abjection,9,noun,humiliation
abjuration,10,noun,disavowal
abjure,6,verb,disown
abjurer,7,noun,person
abkhas,6,noun,circassian
abkhasian,9,noun,circassian|circassian
abkhaz,6,noun,circassian
abkhazian,9,noun,circassian|circassian
ablactate,9,verb,deprive
ablactation,11,noun,bodily process|substitution
ablate,6,verb,wear|remove
ablated,7,verb,wear|remove
ablation,8,noun,operation|erosion
ablative,8,noun,oblique
ablative absolute,17,noun,constituent
ablative case,13,noun,oblique
ablaut,6,noun,vowel
able seaman,11,noun,mariner
able-bodied seaman,18,noun,mariner
able-bodiedism,14,noun,discrimination
able-bodism,11,noun,discrimination
ableism,7,noun,discrimination
ablepharia,10,noun,birth defect
ablism,6,noun,discrimination
abls,4,noun,bachelor's degree
ablution,8,noun,ritual;wash
abm,3,noun,guided missile
abnaki,6,noun,algonquian|algonquian
abnegate,8,verb,control|surrender|deny
abnegation,10,noun,denial|renunciation;selflessness
abnegator,9,noun,donor
abney level,11,noun,surveyor's level
abnormal psychology,19,noun,psychology
abnormalcy,10,noun,physical condition
abnormality,11,noun,physical condition|retardation|unfamiliarity|misbehavior
abo,3,noun,australian;ethnic group
abo antibodies,14,noun,antibody
abo blood group system,22,noun,classification system
abo group,9,noun,classification system
abo system,10,noun,classification system
abocclusion,11,noun,disorder
abode,5,noun,address|housing
abode,5,verb,stay|permit
abohm,5,noun,resistance unit
abolishment,11,noun,termination
abolition,9,noun,termination
abolitionism,12,noun,doctrine
abolitionist,12,noun,reformer
abomasum,8,noun,stomach
a-bomb,6,noun,bomb;nuclear weapon
abominable snowman,18,noun,legendary creature
abominate,9,verb,hate
abomination,11,noun,person|disgust;hate|transgression
abominator,10,noun,hater
abor,4,noun,kamarupan
aboriginal,10,noun,australian;ethnic group|person
aboriginal australian,21,noun,austronesian
aborigine,9,noun,person|australian;ethnic group
abort,5,noun,termination
abort,5,verb,end|die|exhaust
aborticide,10,noun,drug|induced abortion
abortifacient,13,noun,drug
abortion,8,noun,termination|failure
abortion pill,13,noun,abortifacient
abortion-inducing drug,22,noun,drug
abortionist,11,noun,doctor
abortus,7,noun,fetus
aboulia,7,noun,psychological state
abound,6,verb,be|have
abound in,9,verb,occur
abounding,9,verb,be|have
about turn,10,noun,reversion
about-face,10,noun,reversion|change
about-face,10,verb,turn|rethink
above,5,noun,section
abracadabra,11,noun,gibberish
abrachia,8,noun,abnormality
abradant,8,noun,material|tool
abrade,6,verb,wear away|rub
abrader,7,noun,tool
abrading stone,14,noun,abrader
abraham's bosom,15,noun,heaven
abramis,7,noun,fish genus
abramis brama,13,noun,freshwater bream
abrase,6,verb,wear away
abrasion,8,noun,wound|erosion|friction
abrasive,8,noun,material
abrasive material,17,noun,material
abrasiveness,12,noun,roughness|disagreeableness
abreact,7,verb,still
abreaction,10,noun,purge
abridge,7,verb,decrease|restrict
abridged,8,verb,decrease|restrict
abridgement,11,noun,summary
abridger,8,noun,redact
abridgment,10,noun,summary
abrocoma,8,noun,mammal genus
abrocome,8,noun,rodent
abrogate,8,verb,abolish
abrogation,10,noun,cancellation
abrogator,9,noun,authority
abronia,7,noun,caryophylloid dicot genus
abronia elliptica,17,noun,sand verbena
abronia fragrans,16,noun,sand verbena
abronia latifolia,17,noun,sand verbena
abronia maritima,16,noun,sand verbena
abronia umbellata,17,noun,sand verbena
abronia villosa,15,noun,sand verbena
abruptio placentae,18,noun,disorder
abruption,9,noun,break
abruptly-pinnate leaf,21,noun,pinnate leaf
abruptness,10,noun,discourtesy|gradient|haste
abs,3,noun,plastic|bachelor's degree|jewish calendar month|skeletal muscle|blood group
abscess,7,noun,symptom
abscessed tooth,15,noun,abscess
abscise,7,verb,shed|cut off
abscissa,8,noun,cartesian coordinate
abscission,10,noun,shedding|removal
abscond,7,verb,flee
absconder,9,noun,fugitive
abscondment,11,noun,desertion
abseil,6,noun,descent
abseil,6,verb,descend
abseiler,8,noun,descender
absence,7,noun,lack|nonattendance|time interval|seizure
absence seizure,15,noun,seizure
absence without leave,21,noun,desertion
absent,6,verb,disappear
absentee,8,noun,traveler
absentee ballot,15,noun,ballot
absentee rate,13,noun,percentage
absenteeism,11,noun,absence
absentmindedness,16,noun,preoccupation
absinth,7,noun,liqueur
absinthe,8,noun,wormwood|liqueur
absinthe oil,12,noun,essential oil
absolute,8,noun,abstraction
absolute alcohol,16,noun,ethyl alcohol
absolute ceiling,16,noun,ceiling
absolute frequency,18,noun,cardinal number
absolute magnitude,18,noun,magnitude
absolute majority,17,noun,relative quantity
absolute pitch,14,noun,hearing
absolute scale,14,noun,temperature scale
absolute space,14,noun,space
absolute temperature,20,noun,temperature
absolute threshold,18,noun,threshold
absolute value,14,noun,definite quantity
absolute viscosity,18,noun,coefficient
absolute zero,13,noun,temperature
absoluteness,12,noun,limit|changelessness
absolution,10,noun,condition|redemption
absolutism,10,noun,dominance|autocracy|political orientation|doctrine
absolutist,10,noun,disciple
absolve,7,verb,forgive|forgive
absolved,8,verb,forgive|forgive
absolver,8,noun,pardoner
absorb,6,verb,sorb|learn|fund|blend|concentrate|receive|interest
absorbance,10,noun,density
absorbate,9,noun,sorbate
absorbed,8,verb,sorb|learn|fund|blend|concentrate|receive|interest
absorbency,10,noun,permeability
absorbent,9,noun,sorbent
absorbent cotton,16,noun,absorbent material;cotton
absorbent material,18,noun,sorbent
absorber,8,noun,absorbent material
absorbing,9,verb,sorb|learn|fund|blend|concentrate|receive|interest
absorptance,11,noun,coefficient
absorption,10,noun,sorption|natural process|social process|organic process|attention|cognitive state
absorption band,15,noun,optical phenomenon
absorption coefficient,22,noun,coefficient
absorption factor,17,noun,physical property
absorption indicator,20,noun,indicator
absorption spectrum,19,noun,spectrum
absorption unit,15,noun,unit of measurement
absorptivity,12,noun,physical property
absquatulate,12,verb,flee
abstain,7,verb,refrain
abstainer,9,noun,religious person|person
abstemiousness,14,noun,meagerness|temperance
abstention,10,noun,self-discipline
abstinence,10,noun,self-discipline|self-denial
abstinent,9,noun,person
abstract,8,noun,concept|summary
abstract,8,verb,see|steal|consider|sum up
abstract art,12,noun,genre
abstract artist,15,noun,painter
abstract entity,15,noun,entity
abstract expressionism,22,noun,artistic movement
abstract thought,16,noun,thinking
abstracted,10,verb,see|steal|consider|sum up
abstractedness,14,noun,preoccupation
abstracter,10,noun,writer
abstraction,11,noun,concept|removal|theorization|painting|preoccupation|entity
abstractionism,14,noun,genre|representation
abstractionist,14,noun,painter
abstractness,12,noun,immateriality
abstractor,10,noun,writer
abstruseness,12,noun,incomprehensibility|wisdom
abstrusity,10,noun,wisdom
absurd,6,noun,situation
absurdity,9,noun,nonsense|folly
absurdness,10,noun,nonsense
abudefduf,9,noun,fish genus
abudefduf saxatilis,19,noun,damselfish
abulia,6,noun,psychological state
abundance,9,noun,quantity|ratio|ratio
abuse,5,noun,mistreatment|disrespect|use
abuse,5,verb,treat|use|attack|use
abused,6,verb,treat|use|attack|use
abuser,6,noun,wrongdoer
abut,4,verb,touch
abutilon,8,noun,dilleniid dicot genus
abutilon theophrasti,20,noun,mallow
abutment,8,noun,point|support
abutment arch,13,noun,arch
abutter,7,noun,landowner
abvolt,6,noun,potential unit
abwatt,6,noun,power unit
aby,3,verb,right
abye,4,verb,right|right
abysm,5,noun,chasm
abyss,5,noun,chasm
abyss,5,verb,right
abyssal zone,12,noun,ocean floor
abyssinian,10,noun,domestic cat
abyssinian banana,17,noun,herb
abyssinian cat,14,noun,domestic cat
ac,2,noun,chemical element|electricity
acacia,6,noun,tree
acacia auriculiformis,21,noun,wattle
acacia cambegei,15,noun,wattle
acacia catechu,14,noun,acacia
acacia dealbata,15,noun,wattle
acacia farnesiana,17,noun,acacia
acacia melanoxylon,18,noun,blackwood
acacia pycnantha,16,noun,wattle
acacia xanthophloea,19,noun,acacia
academe,7,noun,world
academia,8,noun,world
academic,8,noun,educator
academic administrator,22,noun,administrator
academic costume,16,noun,costume
academic degree,15,noun,award
academic department,19,noun,department
academic freedom,16,noun,freedom
academic gown,13,noun,gown
academic program,16,noun,educational program
academic relation,17,noun,professional relation
academic requirement,20,noun,prerequisite
academic robe,13,noun,gown
academic session,16,noun,term
academic term,13,noun,term
academic year,13,noun,year
academician,11,noun,honoree|scholar|educator
academicianship,15,noun,position
academicism,11,noun,traditionalism
academism,9,noun,traditionalism
academy,7,noun,secondary school|institution|school|establishment
academy award,13,noun,award
academy of motion picture arts and sciences,43,noun,academy
academy of television arts and sciences,39,noun,academy
acadian,7,noun,french canadian
acalypha,8,noun,rosid dicot genus
acalypha virginica,18,noun,shrub
acantha,7,noun,projection
acanthaceae,11,noun,asterid dicot family
acanthion,9,noun,craniometric point
acanthisitta,12,noun,bird genus
acanthisitta chloris,20,noun,new zealand wren
acanthisittidae,15,noun,bird family
acanthocephala,14,noun,phylum
acanthocephalan,15,noun,worm
acanthocereus,13,noun,caryophylloid dicot genus
acanthocereus pentagonus,24,noun,cactus
acanthocereus tetragonus,24,noun,cactus
acanthocybium,13,noun,fish genus
acanthocybium solandri,22,noun,mackerel
acanthocyte,11,noun,red blood cell
acanthocytosis,14,noun,blood disease
acantholysis,12,noun,skin disease
acanthoma,9,noun,tumor
acanthophis,11,noun,reptile genus
acanthophis antarcticus,23,noun,elapid
acanthopterygian,16,noun,teleost fish
acanthopterygii,15,noun,animal order
acanthoscelides,15,noun,arthropod genus
acanthoscelides obtectus,24,noun,seed beetle
acanthosis,10,noun,skin disease
acanthosis nigricans,20,noun,skin disease
acanthuridae,12,noun,fish family
acanthurus,10,noun,fish genus
acanthurus chirurgus,20,noun,surgeonfish
acanthus,8,noun,herb
acanthus family,15,noun,asterid dicot family
acanthus mollis,15,noun,acanthus
acapnia,7,noun,physical condition
acapulco gold,13,noun,cannabis
acaracide,9,noun,pesticide
acardia,7,noun,abnormality
